cod_distrito,distrito,cod_barrio,barrio,año,unidad_indicador,indicador_completo,valor_indicador
10.0,Latina,104.0,Aluche,2024,Habitantes,Número Habitantes,68973
10.0,Latina,104.0,Aluche,2023,Hogares,Total hogares,27043
10.0,Latina,105.0,Campamento,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"22,47426943"
10.0,Latina,105.0,Campamento,2024,Habitantes,Número Habitantes,20657
10.0,Latina,105.0,Campamento,2023,Hogares,Total hogares,7505
10.0,Latina,106.0,Cuatro Vientos,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"11,81746193"
10.0,Latina,106.0,Cuatro Vientos,2024,Habitantes,Número Habitantes,6417
10.0,Latina,106.0,Cuatro Vientos,2023,Hogares,Total hogares,2342
10.0,Latina,107.0,Águilas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"145,0049867"
10.0,Latina,107.0,Águilas,2024,Habitantes,Número Habitantes,52341
10.0,Latina,107.0,Águilas,2023,Hogares,Total hogares,20965
11.0,Carabanchel,111.0,Comillas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"352,289446"
11.0,Carabanchel,111.0,Comillas,2024,Habitantes,Número Habitantes,23466
11.0,Carabanchel,111.0,Comillas,2023,Hogares,Total hogares,9679
11.0,Carabanchel,112.0,Opañel,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"320,7170595"
11.0,Carabanchel,112.0,Opañel,2024,Habitantes,Número Habitantes,35513
11.0,Carabanchel,112.0,Opañel,2023,Hogares,Total hogares,13463
11.0,Carabanchel,113.0,San Isidro,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"222,10288"
11.0,Carabanchel,113.0,San Isidro,2024,Habitantes,Número Habitantes,42184
11.0,Carabanchel,113.0,San Isidro,2023,Hogares,Total hogares,15593
11.0,Carabanchel,114.0,Vista Alegre,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"315,5864586"
11.0,Carabanchel,114.0,Vista Alegre,2024,Habitantes,Número Habitantes,50153
11.0,Carabanchel,114.0,Vista Alegre,2023,Hogares,Total hogares,17773
11.0,Carabanchel,115.0,Puerta Bonita,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"241,0854159"
11.0,Carabanchel,115.0,Puerta Bonita,2024,Habitantes,Número Habitantes,38781
11.0,Carabanchel,115.0,Puerta Bonita,2023,Hogares,Total hogares,12904
11.0,Carabanchel,116.0,Buenavista,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"90,92852562"
11.0,Carabanchel,116.0,Buenavista,2024,Habitantes,Número Habitantes,51040
11.0,Carabanchel,116.0,Buenavista,2023,Hogares,Total hogares,17942
11.0,Carabanchel,117.0,Abrantes,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"212,6358175"
11.0,Carabanchel,117.0,Abrantes,2024,Habitantes,Número Habitantes,33269
11.0,Carabanchel,117.0,Abrantes,2023,Hogares,Total hogares,11237
12.0,Usera,121.0,Orcasitas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"173,1200236"
12.0,Usera,121.0,Orcasitas,2024,Habitantes,Número Habitantes,23482
12.0,Usera,121.0,Orcasitas,2023,Hogares,Total hogares,8512
12.0,Usera,122.0,Orcasur,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"107,0496648"
12.0,Usera,122.0,Orcasur,2024,Habitantes,Número Habitantes,14851
12.0,Usera,122.0,Orcasur,2023,Hogares,Total hogares,4835
12.0,Usera,123.0,San Fermín,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"166,1244408"
12.0,Usera,123.0,San Fermín,2024,Habitantes,Número Habitantes,24510
12.0,Usera,123.0,San Fermín,2023,Hogares,Total hogares,8343
12.0,Usera,124.0,Almendrales,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"306,7170876"
12.0,Usera,124.0,Almendrales,2024,Habitantes,Número Habitantes,23927
12.0,Usera,124.0,Almendrales,2023,Hogares,Total hogares,8129
12.0,Usera,125.0,Moscardó,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"306,7011444"
12.0,Usera,125.0,Moscardó,2024,Habitantes,Número Habitantes,27873
12.0,Usera,125.0,Moscardó,2023,Hogares,Total hogares,9937
12.0,Usera,126.0,Zofío,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"197,6485788"
12.0,Usera,126.0,Zofío,2024,Habitantes,Número Habitantes,15298
12.0,Usera,126.0,Zofío,2023,Hogares,Total hogares,5107
12.0,Usera,127.0,Pradolongo,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"174,9749019"
12.0,Usera,127.0,Pradolongo,2024,Habitantes,Número Habitantes,19172
12.0,Usera,127.0,Pradolongo,2023,Hogares,Total hogares,6095
13.0,Puente de Vallecas,131.0,Entrevías,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"61,70732933"
13.0,Puente de Vallecas,131.0,Entrevías,2024,Habitantes,Número Habitantes,36851
13.0,Puente de Vallecas,131.0,Entrevías,2023,Hogares,Total hogares,12790
13.0,Puente de Vallecas,132.0,San Diego,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"461,1552482"
13.0,Puente de Vallecas,132.0,San Diego,2024,Habitantes,Número Habitantes,49339
13.0,Puente de Vallecas,132.0,San Diego,2023,Hogares,Total hogares,16743
13.0,Puente de Vallecas,133.0,Palomeras Bajas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"242,2124253"
