nombre,postal,calle,cocina,lat,lon,wheelchair
El Brillante,28012,Plaza del Emperador Carlos V,spanish;bocadillos,40.408608,-3.6928819,no
Fuente de Canalejas,,,,40.3718936,-3.6184746,
Trujillo Burger,,Calle de Bustamante,burger,40.4003726,-3.6869072,
Ginos,,,italian,40.4004467,-3.6879754,
De Celso,,,,40.4006752,-3.6882135,
Prudencio,,,,40.4012913,-3.6881593,
Albor,28045,Calle de Juan Martín El Empecinado,spanish,40.4011963,-3.6879215,
Restaurante Chino,,,,40.4014836,-3.6883969,
La Meka de la Baguette,,,sandwich,40.4461758,-3.6955109,
Vips,,,international,40.4501254,-3.6879424,
El Toril,28015,Calle del Conde Duque,,40.4289157,-3.709595,
La Taguara,,,,40.4010244,-3.6867038,
Restaurante Rast,28036,Calle de Félix Boix,,40.4632195,-3.6882395,
El rancho de Santa África,,Calle de la Cañada del Santísimo,burger,40.368165,-3.595425,
Los Mariscos,28038,Calle de Nuestra Señora de las Mercedes,,40.3965239,-3.664788,
El Jardín de Somontes,,"Carretera Madrid-El Pardo (M-605) KM 3,3",,40.4897321,-3.757158,
Ecocentro,,Calle de Esquilache,,40.4429653,-3.7049539,
Almagro,28010,Almagro,,40.4285807,-3.6944749,limited
O'Freixo,,,,40.3864424,-3.7154531,
Malacatín,28005,Calle de la Ruda,mediterranean;spanish;regional;local,40.4103182,-3.7076364,no
La Cueva de La Tina,,Calle de Tintoreros,,40.4136604,-3.707795,
La Encomienda,28012,Calle de la Encomienda,tapas,40.4106324,-3.7059609,
Carol House,28005,Calle de las Maldonadas,,40.4109033,-3.707633,no
La Casa del Abuelo,,Calle de la Victoria,,40.4157405,-3.7017617,
La Cava de Illán,,Calle de la Cava Baja,,40.4129955,-3.708661,limited
Taberna Antonio Sánchez,,Calle del Mesón de Paredes,,40.4111122,-3.7048589,
Trinchea,,,,40.4432872,-3.5833803,
Sushi Wok,,Calle de Deyanira,chinese,40.4430913,-3.5860616,yes
El Rodizio,,Calle de Medea,,40.4398835,-3.6233116,
Orgaz,,,,40.454348,-3.6221229,
Lamucca de Prado,28014,Calle del Prado,,40.4147794,-3.698653,
Tedeum,,,german,40.3971126,-3.6830108,
,,,,40.3981459,-3.6857821,
Jarritus,,,spanish,40.4303623,-3.6644162,
Vips,28028,Calle de Alcalá,international,40.4302465,-3.6639027,
La Junta,28004,Plaza de San Ildefonso,,40.424187,-3.701724,
Marcelino,28008,Paseo del Pintor Rosales,,40.4290921,-3.7215974,
Cazorla,28006,Calle de Castelló,mediterranean,40.4339035,-3.6808655,no
Restaurante El Buey,28013,Plaza de la Marina Española,spanish,40.4206813,-3.7111998,no
El Mollete,28013,Calle de la Bola,spanish,40.4198376,-3.7105593,
Triángulo,,,chinese,40.4262353,-3.6937066,
,,Calle de Génova,,40.4263016,-3.6927018,
Fit Food,,,,40.4262427,-3.6925087,
Delina's,,,,40.4264901,-3.6930277,
Vips,28004,Calle de Génova,international,40.4259972,-3.6920004,limited
Lizarrán,,,spanish,40.4272055,-3.6944365,
Tony Roma's,,,barbecue,40.4267037,-3.6934761,
La fábrica,,,german,40.4264335,-3.6929091,
Plaza 66,,,,40.4271017,-3.6942226,
BICE,,,,40.4265389,-3.6931302,
,,,,40.4260662,-3.6939824,
100 Montaditos,,,sandwich,40.4266136,-3.6962385,limited
Mallorca,,,,40.4268372,-3.6944765,
Da Gavino,,Calle de Santa Teresa,,40.4262381,-3.6962852,
Casa Orellana,,,,40.426637,-3.6955608,
Osom Coffee Atelier,28004,Calle de Santa Teresa,,40.4261592,-3.6964188,
Época,,,,40.4262822,-3.6936887,
Paris Avenue,28004,Plaza de Santa Bárbara,,40.4267047,-3.6961684,
Nuevo Horno de Santa Teresa,28004,Calle de Santa Teresa,,40.4256413,-3.6957089,
Peyote San,28004,Calle de Génova,,40.4253941,-3.6919785,
Calicanto,28004,Calle de Argensola,,40.425659,-3.6947144,no
La tasca suprema,28004,Calle de Argensola,,40.4250697,-3.6951729,
La China Mandarina,,,,40.4103603,-3.7075056,
La Barca del Patio,,,,40.4106629,-3.7074954,
Cascorro,,,,40.4111073,-3.7074118,
Solofirme,,Calle de López Silva,chinese,40.4100488,-3.7088348,
Mesón del Rastro,,,regional,40.4096809,-3.7086337,
Los Tiernos,,,regional,40.4106751,-3.7087326,
Taberna Matritum,28005,Calle de la Cava Alta,regional,40.412118,-3.7091871,
Tapioca,28005,Plaza de la Cebada,pizza,40.411475,-3.709854,no
Cava María,,,,40.4124541,-3.7084514,no
Cantalejo,,,regional,40.4121464,-3.708053,
La Latina,,,regional,40.4122168,-3.7081349,
Mad Café,28005,Calle de la Cava Alta,burger,40.4122689,-3.7088555,
Sagardi,28046,Paseo de la Castellana,regional,40.4277291,-3.6902887,limited
Mad Grill,28004,Calle de Campoamor,burger,40.4263268,-3.6956692,
IL COC,,,,40.4256381,-3.6952666,
El Caral,,,,40.4025219,-3.6803686,
Cervecería La Camocha,28010,Calle de Fuencarral,,40.4296447,-3.7024341,
Mesón Cubano,,,,40.4301132,-3.7033819,
Chikito,,Calle de Diego de León,,40.4347966,-3.6829695,
Depintxos,,,,40.4363317,-3.6809043,
Castizo Velázquez,,Calle de Velázquez,,40.4351252,-3.6835198,
Blanca Rosa,,Calle de López de Hoyos,,40.4371912,-3.687073,
Sushiwakka,,Calle de Serrano,japanese,40.4376132,-3.6865268,
Lamucca,28006,Calle de Serrano,,40.4371538,-3.6865623,no
La Armonia,,Calle del General Oráa,,40.4361646,-3.6848207,
Hevia,28006,Calle de Serrano,,40.4360749,-3.6862586,
Mesón 5Jotas,28006,Calle de Serrano,,40.4361971,-3.6862478,
El Kiosko,,Calle de Serrano,,40.4364074,-3.6861892,no
El Séptimo,,Calle de Diego de León,,40.4351692,-3.6849646,
El Asador de Aranda,,Calle de Diego de León,,40.4352013,-3.6844928,
La Gabinoteca,28003,Calle de Fernández de la Hoz,,40.4389209,-3.6946897,
Katiyaki,28004,Calle de la Madera,,40.4241875,-3.703772,
Lamucca,,Plaza de Carlos Cambronero,,40.4232926,-3.703864,
El bonito,28004,Calle del Pez,,40.4230846,-3.7043878,
El Patio,28014,Calle de Arlabán,spanish,40.4170391,-3.6995917,
La catedral,,,regional,40.4072308,-3.7470811,
Aroma,,,indian,40.415914,-3.6989759,
La Tape,28015,Calle de San Bernardo,spanish,40.4288389,-3.7058704,no
Casa Paulino,,Calle de Alonso Cano,,40.4403399,-3.6975449,
El Padre,,Calle de Serrano,,40.4287604,-3.6874038,
La Taberna del Foque,,Calle de Manuel Pombo Angulo,,40.5069625,-3.6556001,
La Creperie Easycrep,28008,Paseo del Pintor Rosales,,40.4268601,-3.7194291,
Restaurante Hermanos Méndez,,,spanish,40.3900484,-3.7412007,
La Tagliatella,28009,Avenida de Felipe II,italian,40.4241941,-3.6731294,
Mesón El Águila,,,spanish,40.4015691,-3.6071513,
Milos,,,greek,40.432067,-3.6718443,
Taberna Moderna,,,regional,40.4192728,-3.6746894,
Restaurante Sidrería Carlos Tartiere,,,regional,40.4194602,-3.6749567,
Restaurante La Catapa,,,regional,40.4195394,-3.6769279,no
Restaurante La Montería,,,regional,40.4202627,-3.6775529,
La Boiga,28006,Calle de Diego de León,,40.4346614,-3.6801958,no
Restaurante La Alpargatería,,,italian,40.4349285,-3.6800263,
Fantástico,,,indian,40.4080907,-3.6976117,
100 Montaditos,28045,Calle de la Estrella Hadar,sandwich,40.394229,-3.6793779,
Jardín de Oriente,,,asian,40.4072034,-3.7522988,
Bar Los Poetas,,,,40.4684087,-3.7175501,
Kiosco de Pizza,,Calle de Illescas,pizza,40.3971447,-3.7657243,
El Jardín III,,,,40.3647735,-3.6024825,
Del Olivo,28012,Calle de las Huertas,,40.4141212,-3.7012349,
Little Dragon,28015,Calle de los Reyes,,40.4241124,-3.7093953,no
Trattoria Pinocchio,28012,Calle de Sánchez Bustillo,italian,40.4090165,-3.6936473,no
Sanabria,28012,Calle del Doctor Mata,regional,40.4091828,-3.6940348,limited
Sardos,28004,Plaza del Dos de Mayo,pizza,40.427245,-3.7037417,no
Tokyo,,,,40.3645762,-3.5937193,
Janatomo,28004,Calle de la Reina,japanese,40.4200398,-3.6989861,
Petit Comité,28004,Calle de la Reina,french,40.4202822,-3.699844,
Vesuvio Pizza,,Calle de Hortaleza,pizza,40.420611,-3.7007827,
UDON,28004,Calle del Clavel,japanese,40.420186,-3.6993425,no
Del Diego,,Calle de la Reina,,40.4200219,-3.6992253,
La Paella de la Reina,28004,Calle de la Reina,regional,40.4197027,-3.6975447,no
Charlie Champagne,28005,Calle de Segovia,,40.4137977,-3.7126172,
Restaurante Miguel Ángel,28041,Hermandad Donantes Sangre,spanish,40.3528077,-3.7008454,
Campa,,,,40.3970484,-3.7656352,
El Económico,28012,Calle de Argumosa,,40.4083556,-3.6995524,
Xing,28051,Avenida Ensanche de Vallecas,,40.3707883,-3.6130348,
Nueva York,,,,40.3703509,-3.6121418,
El Ensanche,,,,40.3706331,-3.6127344,
Mesón José Luis,,Paseo de La Habana,regional,40.4474802,-3.6902476,
Al Paseo,28036,Paseo de La Habana,regional;fine_dining,40.4544745,-3.6835575,
Da Nicola,,,italian;pizza,40.4477378,-3.6952009,yes
TGI Fridays,,,american,40.4514819,-3.6943466,
José Luis,,,regional,40.454382,-3.6873895,
Cafetería del CNB,,,spanish,40.5442848,-3.6902709,
Cafetería de Derecho,,,spanish,40.542165,-3.6910112,
Cafetería de Biología,,,spanish,40.5428257,-3.6925519,
Cafetería de Psicología,,,spanish,40.5439709,-3.6919875,
Cafetería del Rectorado,,,,40.5445165,-3.6950996,
,,,,40.5441544,-3.6849011,
Club de Tiro Cantoblanco,,,,40.544293,-3.6834581,
Tam Coc,,Calle de Mira el Sol,vietnamese,40.4078927,-3.7045348,
Tierra Burrito Bar,,,mexican,40.4185437,-3.7095489,
Rambal,28012,Calle de Lavapiés,spanish,40.4118145,-3.7031148,
Terraza Cafe del Real,,,italian,40.4177311,-3.7095419,
Ouh Babbo!,28013,Calle de Caños del Peral,italian,40.4187577,-3.7086523,
Las Cubas,,,,40.3734471,-3.6194517,
La Tagliatella,,Calle del Doctor Cortezo,italian,40.4139946,-3.703791,yes
Anica Waksman,28036,"Profesor Waksman, 5",,40.4561876,-3.6889683,
La Nonna,28036,Profesor Waksman 6,italian,40.4559182,-3.6888477,
Casa Bulgogi,28010,Calle del Cardenal Cisneros,korean,40.4326788,-3.7024471,
Pasta Pesto Pizta Pizza,28015,Calle de Guzmán el Bueno,italian,40.4324518,-3.7132396,
Chacón - La casa del Lacón,,,,40.413704,-3.7250995,
La Doma,,Calle de López de Hoyos,steak_house,40.4369649,-3.6871252,
De Hermosilla,,,,40.4256092,-3.6678941,
Pobre de Mi,,,,40.4233435,-3.669061,
Taberna Búlgara,,,bulgarian,40.403105,-3.6631023,
Parador de Bayona,,,,40.4144026,-3.7291113,
A Ría de Noia,,,galician,40.4138754,-3.7250941,
Delhi Darbar,,,indian,40.408015,-3.6974589,
Seoul,,Ronda de Segovia,korean,40.4109537,-3.7178626,
Shangyuan,,,chinese,40.4069704,-3.6950056,yes
Hong Kong City,,,chinese,40.4314925,-3.7158525,no
Vips,28008,Calle de la Princesa,international,40.4250782,-3.7133018,
Shoo Loong Kan,28008,Calle de Santa María Micaela,chinese,40.4255522,-3.7134151,
Grosso,28008,Calle de Ventura Rodríguez,pizza,40.425619,-3.7135233,no
El León de Oro,,,,40.4139047,-3.6989568,
Miranda,28014,Calle de las Huertas,arab,40.4136579,-3.6988496,
Pizzamascalzone,,,pizza,40.4143757,-3.6984651,limited
Han Gang,28014,Calle Moreto,korean,40.4142469,-3.6902653,
Trattoria SantArcangelo,28014,Calle Moreto,,40.4133189,-3.6902126,no
La Flor de la Canela,,Avenida de Nuestra Señora de Fátima,peruvian,40.3856279,-3.7444298,
La Soleá,28013,Calle de Mesonero Romanos,regional,40.4192366,-3.7044963,
Tony Roma's,28013,Gran Vía,barbecue,40.4225259,-3.7091169,no
Currito,,,fish,40.4144392,-3.7321514,
Macoes,,,,40.4119117,-3.7356235,no
Dona Camila,,,,40.4118276,-3.711608,
Wu Wei,,,,40.413253,-3.7121466,
,,,,40.413303,-3.7123536,
Bombay Masala,28015,Calle de San Bernardino,indian,40.424714,-3.7096932,no
Antoinette,28013,Calle Preciados,french,40.4197484,-3.7066739,
Vega Álamo,28015,Calle del Álamo,,40.4238831,-3.7091086,limited
Jin Jin,,Calle de San Bernardino,asian,40.424841,-3.7098715,no
YGF Malatang,28015,Calle de San Bernardino,chinese,40.4249899,-3.7098677,limited
Esfahan,28015,Calle de San Bernardino,persian,40.4247819,-3.7097856,limited
